grid_id,g_lat,g_lon,g_temp_median,g_temp_p25,g_temp_p75,g_rf_median,g_rf_p25,g_rf_p75,g_soil_light,g_soil_medium,g_soil_heavy
182,22.5,86.5,32.459877,28.20058,34.860245,1885.715082,639.073332,4831.922118,0.0,1.0,1.0
186,22.5,90.5,30.61902488684888,26.65981968186515,32.48257896777158,1889.5377948561647,467.46272691863777,6756.968950321191,0.0,1.0,1.0
187,22.5,92.5,29.282192,25.467829,31.218544,0.0,0.0,0.0,0.0,1.0,1.0
188,22.5,93.5,29.0595301237693,25.590658192932946,31.142219641589136,1511.3983752587685,398.8160211052423,3633.113708050363,0.0,1.0,1.0
189,22.5,94.5,28.88627467252444,25.59223914455999,31.01367791845112,1431.213695615708,385.3663949247006,3133.8513881369377,0.0,1.0,1.0
190,22.5,95.5,28.77051261542883,25.532851508472778,31.012761346715827,1350.5531052377748,373.1714583792638,2544.8058694566,0.0,1.0,1.0
191,22.5,96.5,28.72675162227142,25.492787579389503,31.074437665781563,1280.1604666226372,363.376200382189,2068.216392961466,0.0,1.0,1.0
192,22.5,97.5,28.73570123672973,25.476403396987145,31.18639663038978,1231.5507833988247,357.0777108309097,1819.5529116916505,0.0,1.0,1.0
193,22.5,98.5,28.7461234248354,25.456480184547694,31.32247076504968,1205.977972565415,354.2041409910443,1575.5370642366977,0.0,1.0,1.0
194,22.5,99.5,28.7738503120721,25.440917200677543,31.43756597261596,1219.8282751780423,356.47382798639177,1598.4906725342687,0.0,1.0,1.0
195,23.5,68.5,33.02864,30.633787,35.47237,0.0,0.0,0.0,1.0,1.0,0.0
196,23.5,69.5,33.29416,30.77524,36.02957,2214.0488508,1061.902152,14411.118605999998,0.0,1.0,0.0
197,23.5,70.5,33.269608,30.865385,36.044296,914.5881585,122.07985998,3245.2479765,0.0,1.0,0.0
198,23.5,71.5,33.081085,30.173622,36.463234,1330.6027722,594.3169121999999,3891.6607065,0.0,1.0,0.0
202,23.5,75.5,31.890419,28.526205,35.797447,1660.595985,388.1860965,5332.703631,0.0,1.0,1.0
203,23.5,76.5,32.046505,28.464111,36.200863,1667.493804,273.27347910000003,5733.409764,0.0,1.0,1.0
204,23.5,77.5,31.568047,28.048634,35.913628,2337.622785,681.1454254500001,6612.703719,0.0,1.0,1.0
205,23.5,78.5,31.00686,27.702541,34.879486,1922.2654524,519.4124136,5770.125237,0.0,1.0,1.0
206,23.5,79.5,30.974453,27.413784,34.799393,1522.0850784000002,344.8923042,4084.799364,0.0,1.0,1.0
207,23.5,80.5,31.496395,28.134548,34.910213,1640.093397,453.2386528500001,5756.98419,0.0,1.0,1.0
211,23.5,84.5,32.544395,28.395401,35.382454,2732.0082078,991.190403,5189.052291,0.0,1.0,1.0
212,23.5,85.5,32.832047,28.446028,35.2312,1687.9092839999998,859.2518316000001,3845.161779,0.0,1.0,1.0
213,23.5,86.5,32.545013,27.929428,35.197407,1916.4968532,653.90474085,5449.078455,0.0,1.0,1.0
217,23.5,90.5,30.450013895079547,26.49242948396606,32.464844092678184,2097.015859532733,479.3040542502302,7863.189148769249,0.0,1.0,1.0
218,23.5,91.5,29.312832,25.598196,31.473946,2745.0,530.6999999999999,9909.45,0.0,1.0,1.0
219,23.5,92.5,29.018852,25.355457,31.18826,2745.0,530.6999999999999,9909.45,0.0,1.0,1.0
220,23.5,93.5,28.864872,25.716606,31.415482,1464.0,402.6,5124.0,0.0,1.0,1.0
221,23.5,94.5,28.67961966664605,25.567467411732306,31.1055572518338,1521.0418750627,390.2187627823045,3716.743682865415,0.0,1.0,1.0
